File Name,RGE-343-DUT32-7dCO2_Nitrogen.DAT
Date of measurement,13/01/30
Time of measurement,39:37:15
COMMENT1,RGE-343_DUT-32-7d
COMMENT2,irena
COMMENT3,
COMMENT4,, Vacuum degree before measurement:1.060E-1Pa
Serial number,00218
Version,
Sample weight,1.8400E-02,[g]
Standard volume,27.698,[cm^3]
Dead volume,25.013,[cm^3]
Equilibrium time,0,[SEC]
Adsorptive,N2
Apparatus temperature,0.0000,[C]
Adsorption temperature,77.000,[K]
Saturated vapor pressure,101.33,[kPa]
Adsorptive cross section area,0.1620,[nm^2]
File name of wall adsorption,
Wall adsorption correction value1,
Wall adsorption correction value2,
Number of adsorption data point :,293
Number of desorption data point :,4

No,pi/kPa,pe/kPa,pe2/kPa,p0/kPa,p/p0,Va/cm^3(STP) g^-1
ADS
251,0.0000,45.065,0.0000,101.33,0.4447,2018.3
252,0.0000,45.760,0.0000,101.33,0.4516,2020.0
253,0.0000,46.470,0.0000,101.33,0.4586,2021.4
254,0.0000,47.206,0.0000,101.33,0.4659,2022.5
255,0.0000,47.965,0.0000,101.33,0.4734,2023.5
256,0.0000,48.696,0.0000,101.33,0.4806,2024.5
257,0.0000,49.459,0.0000,101.33,0.4881,2025.2
258,0.0000,50.263,0.0000,101.33,0.4960,2025.6
259,0.0000,50.929,0.0000,101.33,0.5026,2027.3
260,0.0000,51.843,0.0000,101.33,0.5116,2027.2
261,0.0000,52.688,0.0000,101.33,0.5200,2026.8
262,0.0000,53.683,0.0000,101.33,0.5298,2024.4
263,0.0000,55.230,0.0000,101.33,0.5451,2009.7
264,0.0000,56.655,0.0000,101.33,0.5591,2000.5
265,0.0000,62.816,0.0000,101.33,0.6199,1938.9
266,0.0000,65.699,0.0000,101.33,0.6484,1902.1
267,0.0000,66.727,0.0000,101.33,0.6585,1896.3
268,0.0000,67.502,0.0000,101.33,0.6662,1894.1
269,0.0000,68.522,0.0000,101.33,0.6762,1891.3
270,0.0000,69.675,0.0000,101.33,0.6876,1887.8
271,0.0000,70.751,0.0000,101.33,0.6982,1887.7
272,0.0000,72.051,0.0000,101.33,0.7111,1882.3
273,0.0000,72.952,0.0000,101.33,0.7199,1878.7
274,0.0000,73.996,0.0000,101.33,0.7302,1878.3
275,0.0000,75.385,0.0000,101.33,0.7440,1875.4
276,0.0000,76.497,0.0000,101.33,0.7549,1870.0
277,0.0000,77.557,0.0000,101.33,0.7654,1866.7
278,0.0000,78.508,0.0000,101.33,0.7748,1864.5
279,0.0000,79.750,0.0000,101.33,0.7870,1862.8
280,0.0000,81.037,0.0000,101.33,0.7997,1860.2
281,0.0000,82.414,0.0000,101.33,0.8133,1857.3
282,0.0000,84.193,0.0000,101.33,0.8309,1847.3
283,0.0000,85.200,0.0000,101.33,0.8408,1839.9
284,0.0000,86.430,0.0000,101.33,0.8530,1833.8
285,0.0000,87.547,0.0000,101.33,0.8640,1830.4
286,0.0000,88.977,0.0000,101.33,0.8781,1827.1
287,0.0000,90.552,0.0000,101.33,0.8936,1820.6
288,0.0000,91.856,0.0000,101.33,0.9065,1814.4
289,0.0000,93.488,0.0000,101.33,0.9226,1805.5
290,0.0000,95.190,0.0000,101.33,0.9394,1791.8
291,0.0000,96.120,0.0000,101.33,0.9486,1785.9
292,0.0000,97.911,0.0000,101.33,0.9663,1775.3
293,0.0000,99.442,0.0000,101.33,0.9814,1764.3
DES
1,0.0000,100.51,0.0000,101.33,0.9919,1640.0
2,0.0000,101.40,0.0000,101.33,1.0007,1528.2
3,0.0000,100.28,0.0000,101.33,0.9896,1416.0
4,0.0000,97.395,0.0000,101.33,0.9612,1307.5
